Display Name,Internal Name,Type,Details,Required
Title,Title,Single line (native),"'Figure N — <section or caption>' ('Icon N — …' for Kind icon, 'Drawing N — …' for Kind drawing) — the figure's ordinal in its document plus the section it sits in (images) or its collapsed label text (diagrams), truncated 255",Yes
Document,Document,Lookup,"Target: Doc Index, show Title; INDEXED — create via CLASSIC list settings (modern-created lookups are broken: silent write drops, spinning pickers)",Yes
FigureKey,FigureKey,Single line of text,"{DocRowId}|{ordinal} — INDEXED; the replace-set diff key (Figure_Index_Plan.md, the Case_Index_Plan D4 rule): every (re)index of a document replaces its full figure-row set, so this is a within-run dedup key, never a durable figure identity",Yes
FigureNo,FigureNo,Number,"0 decimals; the figure's ordinal in document order (images and diagrams share one sequence); display only, never identity",No
Kind,Kind,Choice,"image; diagram; icon; drawing — image = a pasted picture extracted into media/<stem>/ (has a file, a link and a size); diagram = a drawn diagram ZipTextExtract collapsed into one '[figure: …]' label line (no file — the labels are the Caption); icon = a picture no larger than 48 px on its longest side (button glyphs from docx documentation pages — figureindex v1.1; still a named file with a link and size, set aside from the figures proper); drawing = the slide's drawn shapes and text rendered faithfully to an SVG file by ShapeExtract (figureindex v1.2 / sweep v1.61) — when the slide's short labels also collapsed into a '[figure: …]' line, the two fold into this ONE row (file from the drawing, Caption from the labels)",No
FileName,FileName,Single line of text,"The standardized media file name 'fig-NN[-slide-KK][-<slug>].<ext>' (figureindex v1.0 — NN = ordinal, KK = first slide, slug = slide title / nearest docx heading, or since v1.1 an untitled slide's first text line; jpeg → jpg); a legacy 'image1.png' until --reformat renames the corpus; empty for diagrams",No
Format,Format,Choice,"png; jpg; gif; bmp; svg; other; none — from the file extension; none for diagrams; svg = a rendered drawing (Kind drawing)",No
SlideNo,SlideNo,Number,"0 decimals; the slide the figure sits on ('## Slide N' heading or the section heading's slide comment); empty for docx-derived figures",No
Section,Section,Single line of text,"The heading of the section the figure sits under (comments stripped) — 'Slide 4 — Coordinate Configuration Tests', 'TC-P01 — Loop Route'",No
CaseNo,CaseNo,Single line of text,"The TC id ('TC-P04') when the figure sits inside a test-case section of the testplan/v1 grammar; empty otherwise — joins to the Test Cases row by CaseNo + Document",No
Anchor,Anchor,Single line of text,"GitHub-style anchor slug of the section heading — deep link target {TextFileUrl}#{Anchor}",No
Caption,Caption,Single line of text,"Diagrams and drawings: the collapsed label text ('10–22 · R1 · E1 · Output'), or a label-less drawing's '[connections: …]' text; images: a meaningful alt text when the source carried one (the generated 'Figure N — …' alt and the file name do not count); capped 255",No
Context,Context,Multiple lines of text,"PLAIN text (not enhanced); the prose of the figure's section with tables/figure links/fences stripped, capped by sweep.figureIndex.contextCap (2000) — skim/search aid, like CaseText",No
Width,Width,Number,"0 decimals; pixel width from the file header (PNG/GIF/BMP/JPEG, or an SVG drawing's own width) when the file is on disk at index time; empty otherwise",No
Height,Height,Number,"0 decimals; pixel height, as Width",No
Bytes,Bytes,Number,"0 decimals; file size on disk; empty for diagrams or a file not on disk",No
Tools,Tools,Single line of text,"'; '-joined canonical TOOL names from the curated Keywords vocabulary found in the document title + section heading + caption + context, rarest-first (caseindex's matchers); empty = none",No
Keywords,Keywords,Single line of text,"'; '-joined canonical topic + product keywords from the same scan, rarest-first; empty = none",No
ImageUrl,ImageUrl,Single line of text,"Absolute URL of the image in the sidecar library's media folder (media/<stem>/<FileName>); empty for diagrams. Plain text so list views can filter/sort on it",No
ImageLink,ImageLink,Hyperlink,"The same image, clickable — description = FileName; empty for diagrams. Written via SPO ValidateUpdateListItem like SourceLink/TextFileUrl/FigureLink (Graph rejects hyperlink columns)",No
SweptOn,SweptOn,Date and Time,"Include time; when this row was last written (unchanged rows are not rewritten, so this is last CHANGE, not last sweep)",No
